gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
21800030,10/20/18,regular,1610612766,CHA,MIA,CHA,48,113,41,93,44.1,16,42,38.1,15,23,65.2,12,28,40,23,12,6,12,27,1,1,2019
21800030,10/20/18,regular,1610612748,MIA,MIA,CHA,48,112,41,89,46.1,11,34,32.4,19,27,70.4,12,37,49,21,16,4,11,27,-1,0,2019
21800031,10/20/18,regular,1610612741,CHI,CHI,DET,48,116,44,87,50.6,7,21,33.3,21,26,80.8,5,36,41,26,11,4,3,20,-2,0,2019
21800031,10/20/18,regular,1610612765,DET,CHI,DET,48,118,41,101,40.6,18,40,45,18,23,78.3,18,31,49,21,10,4,4,23,2,1,2019
21800032,10/20/18,regular,1610612742,DAL,DAL,MIN,48,140,49,98,50,17,50,34,25,34,73.5,15,27,42,29,16,8,8,28,4,1,2019
21800032,10/20/18,regular,1610612750,MIN,DAL,MIN,48,136,44,84,52.4,14,27,51.9,34,40,85,6,27,33,23,17,10,3,30,-4,0,2019
21800033,10/20/18,regular,1610612743,DEN,DEN,PHX,48,119,43,85,50.6,9,28,32.1,24,29,82.8,9,45,54,28,18,12,6,31,28,1,2019
21800033,10/20/18,regular,1610612756,PHX,DEN,PHX,48,91,29,77,37.7,11,39,28.2,22,35,62.9,10,30,40,20,19,6,4,26,-28,0,2019
21800034,10/20/18,regular,1610612757,POR,POR,SAS,48,121,45,84,53.6,15,32,46.9,16,19,84.2,8,38,46,24,12,5,3,14,13,1,2019
21800034,10/20/18,regular,1610612759,SAS,POR,SAS,48,108,42,100,42,13,30,43.3,11,14,78.6,15,25,40,29,6,5,4,17,-13,0,2019
21800035,10/20/18,regular,1610612745,HOU,LAL,HOU,48,124,44,96,45.8,16,42,38.1,20,30,66.7,13,41,54,22,18,7,4,21,9,1,2019
21800035,10/20/18,regular,1610612747,LAL,LAL,HOU,48,115,48,100,48,8,32,25,11,18,61.1,9,35,44,28,11,8,10,21,-9,0,2019
21800036,10/21/18,regular,1610612737,ATL,CLE,ATL,48,133,48,98,49,22,47,46.8,15,19,78.9,9,35,44,32,12,9,7,21,22,1,2019
